method,target_tokens,actual_tokens,num_chunks,fwd_passes,wall_time_s,peak_vram_gb
substitution,256,278,3,4,1.16,6.295
inputxgrad,256,278,3,1,0.384,7.971
attn_agg,256,278,3,1,0.956,6.442
mask4d,256,278,3,4,0.323,6.37
chunk_deletion,256,278,3,4,1.587,6.295
substitution,512,534,5,6,1.083,6.328
inputxgrad,512,534,5,1,0.472,9.384
attn_agg,512,534,5,1,1.425,6.697
mask4d,512,534,5,6,1.127,6.465
chunk_deletion,512,534,5,6,1.502,6.328
substitution,1024,1046,9,10,1.494,6.451
inputxgrad,1024,1046,9,1,0.414,12.898
attn_agg,1024,1046,9,1,2.76,7.536
mask4d,1024,1046,9,10,0.828,6.658
chunk_deletion,1024,1046,9,10,2.016,6.451
substitution,2048,2070,17,18,5.33,6.928
inputxgrad,2048,2070,17,1,0.736,23.448
attn_agg,2048,2070,17,1,7.839,10.533
mask4d,2048,2070,17,18,5.694,7.107
chunk_deletion,2048,2070,17,18,5.133,6.928
